Ages,Gender,Pendidikan,Hoby,Jobs,Pets,Addresess,Fear,Dream,Fav_food
36,L,SMK,Ngoding,Guru,Otter,Cisaat,Laut,Hitam,Risol Charel
31,L,SMA,Membaca,Pustakawan,Kucing,Cisaat,Ketinggian,Artis,Batagor
43,L,S1,GYM,Trainer,Anjing,Cisaat,Gelap,Artis,Cimol
24,P,S2,Membaca,Trainer,Otter,Sukabumi,Laut,Artis,Nasi Padang
60,P,S1,Membaca,Pustakawan,Otter,Sukabumi,Ketinggian,Artis,Risol Charel
49,L,SMK,GYM,Trainer,Otter,Nyalindung,Ketinggian,Hitam,Risol Charel
28,P,SMK,GYM,Pustakawan,Anjing,Nyalindung,Laut,Sehat,Seblak
25,L,SMK,Ngoding,Trainer,Tupai,Sukabumi,Laut,Kaya Raya,Cimol
42,L,SMK,Ngoding,Trainer,Otter,Cisaat,Gelap,Kaya Raya,Cimol
53,L,S2,Ngoding,Guru,Kucing,Cisaat,Ketinggian,Artis,Cimol
51,P,S2,GYM,Pustakawan,Kucing,Sukabumi,Gelap,Artis,Seblak
46,L,S2,Membaca,Guru,Otter,Sukabumi,Ketinggian,Kaya Raya,Nasi Padang
42,P,S2,Ngoding,Pustakawan,Kucing,Cisaat,Gelap,Sehat,Nasi Padang
26,P,SMK,Ngoding,Trainer,Kucing,Cisaat,Gelap,Artis,Cimol
59,P,SMA,Membaca,Trainer,Anjing,Cisaat,Laut,Hitam,Batagor
47,P,SMK,Membaca,Pustakawan,Tupai,Nyalindung,Laut,Kaya Raya,Nasi Padang
60,L,SMA,Ngoding,Trainer,Kucing,Cisaat,Gelap,Artis,Batagor
45,P,S1,Ngoding,Pustakawan,Tupai,Nyalindung,Laut,Sehat,Seblak
46,L,SMA,GYM,Trainer,Tupai,Nyalindung,Laut,Sehat,Nasi Padang
23,P,SMA,GYM,Trainer,Tupai,Cisaat,Gelap,Artis,Nasi Padang
59,P,SMA,Membaca,Trainer,Tupai,Nyalindung,Ketinggian,Artis,Seblak
23,P,SMK,Ngoding,Pustakawan,Anjing,Cisaat,Laut,Hitam,Batagor
45,L,SMK,Membaca,Guru,Tupai,Cisaat,Gelap,Sehat,Seblak
35,L,SMK,Membaca,Trainer,Tupai,Nyalindung,Gelap,Artis,Batagor
32,L,SMA,Ngoding,Guru,Anjing,Sukabumi,Laut,Sehat,Nasi Padang
53,P,SMK,Membaca,Trainer,Tupai,Nyalindung,Gelap,Sehat,Batagor
28,P,S2,Membaca,Guru,Tupai,Sukabumi,Gelap,Hitam,Seblak
39,L,S1,Ngoding,Trainer,Otter,Nyalindung,Gelap,Artis,Batagor
36,L,S1,Ngoding,Pustakawan,Anjing,Nyalindung,Gelap,Hitam,Risol Charel
18,P,SMA,Ngoding,Trainer,Tupai,Cisaat,Ketinggian,Sehat,Batagor
51,P,S1,Membaca,Trainer,Kucing,Cisaat,Ketinggian,Artis,Seblak
35,L,S2,Ngoding,Pustakawan,Tupai,Cisaat,Ketinggian,Kaya Raya,Seblak
59,L,SMA,Membaca,Trainer,Anjing,Sukabumi,Laut,Artis,Nasi Padang
44,L,SMK,Ngoding,Pustakawan,Anjing,Sukabumi,Gelap,Sehat,Seblak
41,P,S1,Membaca,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Batagor
31,P,SMK,Membaca,Pustakawan,Tupai,Cisaat,Laut,Artis,Cimol
37,L,S1,Membaca,Guru,Kucing,Nyalindung,Gelap,Sehat,Cimol
56,L,SMK,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Artis,Risol Charel
22,L,S2,Ngoding,Trainer,Tupai,Sukabumi,Ketinggian,Sehat,Nasi Padang
32,L,SMK,Membaca,Guru,Anjing,Nyalindung,Laut,Kaya Raya,Seblak
28,P,SMA,GYM,Guru,Anjing,Nyalindung,Laut,Sehat,Cimol
42,P,S2,Ngoding,Pustakawan,Anjing,Cisaat,Laut,Sehat,Batagor
33,L,S1,Ngoding,Trainer,Kucing,Sukabumi,Ketinggian,Kaya Raya,Risol Charel
32,L,SMA,Ngoding,Guru,Tupai,Nyalindung,Gelap,Sehat,Risol Charel
55,P,SMK,Membaca,Trainer,Tupai,Sukabumi,Gelap,Hitam,Nasi Padang
22,L,SMA,Membaca,Pustakawan,Kucing,Cisaat,Gelap,Sehat,Nasi Padang
58,P,S2,Ngoding,Pustakawan,Otter,Sukabumi,Ketinggian,Sehat,Risol Charel
43,P,S2,Ngoding,Pustakawan,Anjing,Nyalindung,Laut,Kaya Raya,Nasi Padang
58,P,S2,GYM,Trainer,Tupai,Cisaat,Ketinggian,Hitam,Batagor
52,P,SMK,Ngoding,Pustakawan,Kucing,Sukabumi,Laut,Hitam,Batagor
27,L,S1,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Sehat,Risol Charel
37,L,S2,Ngoding,Pustakawan,Otter,Nyalindung,Ketinggian,Kaya Raya,Seblak
33,L,SMK,Ngoding,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Nasi Padang
51,P,SMA,Membaca,Trainer,Kucing,Sukabumi,Gelap,Artis,Nasi Padang
32,L,S2,GYM,Guru,Anjing,Sukabumi,Ketinggian,Sehat,Batagor
37,L,SMA,Ngoding,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Nasi Padang
24,P,SMA,Membaca,Guru,Anjing,Cisaat,Gelap,Kaya Raya,Nasi Padang
48,L,S1,GYM,Trainer,Anjing,Sukabumi,Laut,Sehat,Cimol
